stage	word	pronounciation	meaning	example sentence
Stage 0: Grade 1	cat	 	a small furry animal kept as a pet	The cat sat on the mat.
Stage 0: Grade 1	dog	 	a common pet that barks	My dog likes to play fetch.
Stage 0: Grade 1	sun	 	the star that lights and warms our day	The sun is bright and warm today.
Stage 0: Grade 1	run	 	move quickly on your feet	I like to run in the park.
Stage 0: Grade 1	big	 	large in size	The elephant is very big.
Stage 0: Grade 1	red	 	the color of fire	She wore a red dress.
Stage 0: Grade 1	blue	 	the color of the sky	The sky is blue and clear.
Stage 0: Grade 1	hat	 	a covering worn on the head	He put on his hat before going out.
Stage 0: Grade 1	cup	 	a small container for drinking	Please fill my cup with water.
Stage 0: Grade 1	bed	 	furniture you sleep on	It is time to go to bed.
Stage 0: Grade 1	sit	 	rest on a seat	Please sit down in your chair.
Stage 0: Grade 1	hop	 	jump lightly, especially on one foot	The rabbit can hop very fast.
Stage 0: Grade 1	mud	 	wet, soft dirt	We played in the mud after the rain.
Stage 0: Grade 1	pig	 	a farm animal with a curly tail	The pig rolled in the mud.
Stage 0: Grade 1	bug	 	a small insect	A tiny bug crawled on the leaf.
Stage 0: Grade 1	cut	 	divide with something sharp	Please cut the paper in half.
Stage 0: Grade 1	hot	 	very warm in temperature	The soup is too hot to eat yet.
Stage 0: Grade 1	pet	 	a tame animal kept at home	My pet goldfish lives in a bowl.
Stage 0: Grade 1	nap	 	a short sleep during the day	The baby takes a nap every afternoon.
Stage 0: Grade 1	van	 	a large enclosed vehicle	We all fit in the van.
Stage 0: Grade 1	fish	 	an animal that lives in water and has fins	We saw a big fish in the pond.
Stage 0: Grade 1	frog	 	a small jumping animal that lives near water	The frog jumped into the pond.
Stage 0: Grade 1	jump	 	push up off the ground with your feet	Can you jump over the puddle?
Stage 0: Grade 1	play	 	have fun or join a game	Let us play outside after school.
Stage 0: Grade 1	stop	 	no longer move or continue	Stop at the red light.
Stage 0: Grade 1	help	 	make things easier for someone	Can you help me carry this box?
Stage 0: Grade 1	look	 	use your eyes to see	Look both ways before you cross the street.
Stage 0: Grade 1	good	 	right or of high quality	You did a good job today.
Stage 0: Grade 1	come	 	move toward a place or person	Come here and sit with me.
Stage 0: Grade 1	said	 	spoke words out loud	She said hello to her friend.
Stage 0: Grade 1	time	 	the passing of minutes and hours	What time does school start?
Stage 0: Grade 1	day	 	a period of twenty-four hours	Today is a sunny day.
Stage 0: Grade 1	home	 	the place where you live	I walk home after school.
Stage 0: Grade 1	hand	 	the part at the end of your arm	Raise your hand if you know the answer.
Stage 0: Grade 1	tree	 	a tall plant with a trunk and leaves	We sat under the big tree.
Stage 0: Grade 1	bird	 	an animal with wings and feathers	A little bird sang in the tree.
Stage 0: Grade 1	rain	 	water that falls from clouds	We need an umbrella in the rain.
Stage 0: Grade 1	snow	 	frozen water that falls from the sky	Let us build a snowman in the snow.
Stage 0: Grade 1	milk	 	a white drink that comes from cows	I drink a glass of milk every morning.
Stage 0: Grade 1	cold	 	low in temperature	It is cold outside today.
Stage 0: Grade 1	warm	 	comfortably heated	The fire kept us warm.
Stage 0: Grade 1	name	 	the word you are called by	My name is written on my bag.
Stage 0: Grade 1	ball	 	a round object used in games	Kick the ball to your friend.
Stage 0: Grade 1	door	 	a panel you open to go in or out	Please close the door behind you.
Stage 0: Grade 1	food	 	something you eat to stay alive	We need food and water every day.
Stage 0: Grade 1	farm	 	land where animals and crops are raised	We visited a farm and fed the chickens.
Stage 0: Grade 1	glad	 	feeling happy or pleased	I am glad you came to my party.
Stage 0: Grade 1	best	 	better than all others	You are my best friend.
Stage 0: Grade 1	back	 	the rear side; to return to a place	Put the book back on the shelf.
Stage 0: Grade 1	give	 	hand something to someone	Give me a hug before you go.
Stage 1	Happen	 	take place, occur	Did anything exciting happen over the weekend?
Stage 1	Wait	 	stay until something happens	Please wait here until your name is called.
Stage 1	Information	 	facts or knowledge	I found some useful information about volcanoes in this book.
Stage 1	Skilled	 	having special ability or expertise	The skilled carpenter built the bookshelf in just one afternoon.
Stage 1	Vanish	 	disappear suddenly	The fog made the buildings vanish from sight.
Stage 1	explosive	 	Volatile, dangerous	Fireworks are explosive goods and are prohibited to be taken on board an airplane.
Stage 1	Noise	 	loud or unwanted sound	There was a loud noise coming from the garage.
Stage 1	Damage	 	harm or injury to something	The heavy rain caused damage to several houses.
Stage 1	Permanent	 	lasting forever, not temporary	She got a permanent tattoo of a butterfly on her wrist.
Stage 1	Wednesday	 	the fourth day of the week	We always have our art class on Wednesday.
Stage 1	incredible	 	Marvelous, beyond belief	You told an incredible story about outrunning an alligator.
Stage 1	Accelerate	 	increase in speed	The driver began to accelerate as the traffic light turned green.
Stage 1	Garnish	 	decorate food before serving	The chef used lemon slices to garnish the dish.
Stage 1	Fatal	 	causing death	The doctor explained that the disease could be fatal if left untreated.
Stage 1	sufficiently	 	Enough, adequate	Because the teacher did not sufficiently explain the homework assignment, the students were confused.
Stage 1	Advocate	 	publicly support or recommend	She continues to advocate for cleaner air and water.
Stage 1	barricade	 	an improvised barrier erected across a street or other thoroughfare to prevent or delay the movement of opposing forces
Stage 1	scheme	 	a plan, design or program of action to be followed	The bank also operates a small unfunded pension scheme.
Stage 1	Appeal	 	an urgent request; attractive quality	The police made an appeal for witnesses to come forward.
Stage 1	Arrange	 	put in a particular order	Can you arrange the books in alphabetical order?
Stage 1	Fertile	 	able to produce abundant growth	Farmers prefer to grow crops on fertile land.
Stage 1	Chamber	 	a room or enclosed space	The king held a secret meeting in the royal chamber.
Stage 1	Attempt	 	try to achieve something	She made an attempt to climb the mountain but turned back halfway.
Stage 1	Fortify	 	strengthen against attack	They used stone walls to fortify the castle against invaders.
Stage 1	Enrich	 	improve the quality or value of	Reading can enrich your vocabulary and imagination.
Stage 1	Often	 	frequently, many times	We often visit our grandparents on weekends.
Stage 1	Boredom	 	state of feeling uninterested	He started doodling out of pure boredom during the long lecture.
Stage 1	Adventures	 	exciting or unusual experiences	Their summer was full of exciting adventures in the forest.
Stage 1	Dictionary	 	a book listing words and their meanings	I looked up the word in the dictionary to check its spelling.
Stage 1	Fitness	 	good physical health and condition	Regular exercise is important for your overall fitness.
Stage 1	Euphoria	 	intense feeling of happiness	She felt a wave of euphoria when she got the good news.
Stage 1	Geography	 	study of Earth's lands and peoples	We studied mountains and rivers in geography class today.
Stage 1	Lavatory	 	a toilet or washroom	He asked the flight attendant where the lavatory was.
Stage 1	Sketchbook	 	a pad of paper for drawing	She carried her sketchbook everywhere to capture ideas.
Stage 1	Railway	 	a train track system	The railway connects all the major cities in the country.
Stage 1	Potentially	 	possibly, under certain conditions	That shortcut is potentially dangerous at night.
Stage 1	League	 	a group of people or teams	He joined a local football league to play every weekend.
Stage 1	Condensation	 	water droplets formed when vapor cools	There was condensation on the windows after the storm.
Stage 1	Substitution	 	replacing one thing with another	The teacher made a substitution because the main player was injured.
Stage 1	Crayon	 	a colored wax stick for drawing	The child drew a rainbow using every crayon in the box.
Stage 1	Serious	 	not joking; requiring careful thought	She had a serious expression during the meeting.
Stage 1	Queue	 	a line	We had to stand in a long queue to buy concert tickets.
Stage 1	Nuance	 	a subtle difference in meaning or feeling	The actor captured every nuance of the character's personality.
Stage 1	Assignment	 	a task given to someone	Our homework assignment is due next Friday.
Stage 1	Disappear	 	go out of sight; cease to exist	The magician made the coin disappear in front of our eyes.
Stage 1	Constellation	 	a group of stars forming a named pattern	We spotted the Orion constellation clearly in the night sky.
Stage 1	Entitlement	 	belief that one deserves special treatment	He felt a sense of entitlement even though he hadn't done the work.
Stage 1	Negotiation	 	discussion aimed at reaching an agreement	The two countries are still in negotiation over the peace agreement.
Stage 1	Fluctuation	 	irregular rise and fall	There was a sudden fluctuation in temperature during the afternoon.
Stage 1	Superintendent	 	a person who oversees and manages	The school superintendent visited our class today.
Stage 1	foreigner	fawr-uh-ner	a person not native to or naturalized in the country under consideration; alien	He like the new country he was living in even though he was a foreigner.
Stage 1	Expenditure	 	an amount of money spent	The company reduced its monthly expenditure to save money.
Stage 1	Appointment	 	a scheduled meeting or engagement	I have a dentist appointment at 3 p.m. today.
Stage 1	Consolidation	 	combining separate things into one	The company's consolidation of its offices saved a lot of space and money.
Stage 1	Environment	 	the natural world; one's surroundings	We must take care of the environment to protect future generations.
Stage 1	Thou	 	a thousandth of an inch	The machine can cut metal down to a precision of one thou.
Stage 1	Thought	 	an idea formed in the mind	She paused for a moment, lost in deep thought.
Stage 1	Conglomerate	 	a large corporation made up of merged businesses	The multinational conglomerate owns businesses in media, real estate, and food.
Stage 1	Contemptuous	 	showing scorn or disrespect	He gave a contemptuous laugh and walked away.
Stage 1	Buoyancy	 	ability to float in water or air	The life jacket increased her buoyancy in the water.
Stage 1	Bountiful	 	large in quantity; very generous	We had a bountiful harvest this year thanks to the good weather.
Stage 1	Cacophonous	 	harsh and unpleasant sounding	The cafeteria became cacophonous when everyone started talking at once.
Stage 1	Solstice	 	when the sun reaches its highest or lowest point	The summer solstice marks the longest day of the year.
Stage 1	perspective	 	The relative importance of facts or matters from any special point of view	You should gain a broader perspective on the situation before making a decision.
Stage 1	Nonremitall	 	failure to cancel or waive a fee or obligation	The nonremitall of fees led to the cancellation of his registration.
Stage 1	Filibuster	 	a prolonged speech used to delay a vote	The senator launched a filibuster to block the vote.
Stage 1	Arbitrary	 	based on random choice rather than reason	The teacher's decision to cancel the trip felt completely arbitrary.
Stage 1	Demeanor	 	outward behavior or manner	Her calm demeanor helped settle the nervous crowd.
Stage 1	Hoax	 	a trick or deliberate deception	The online video turned out to be a clever hoax.
Stage 1	Coup	 	sudden seizure of power	The rebels staged a coup and seized control of the government.
Stage 1	Clique	 	a group of people	She felt excluded by the popular clique at school.
Stage 1	Parallelogram	 	a four-sided shape with two pairs of parallel sides	A rectangle is a type of parallelogram with right angles.
Stage 1	Debacle	 	a sudden and embarrassing failure	The product launch turned into a public relations debacle.
Stage 1	Coagulate	 	thicken or solidify, especially blood	The blood began to coagulate around the wound.
Stage 1	Calligraphy	 	the art of decorative handwriting	She practiced calligraphy to improve her handwriting for invitations.
Stage 1	Discrepancy	 	a difference or inconsistency between things	There was a discrepancy between the two reports that needed to be investigated.
Stage 1	Disenfranchise	 	deprive someone of the right to vote	New laws threatened to disenfranchise large groups of voters.
Stage 1	Thievery	 	the act or practice of stealing	The museum increased security to prevent any acts of thievery.
Stage 1	Conundrum	 	a confusing or difficult problem	Choosing between two good universities was a real conundrum for him.
Stage 1	civilization	 	an advanced stage of social development; culture, sophistication	Ancient Mesopotamia is widely considered to be the cradle of civilization.
Stage 1	edible	 	Suitable or safe for eating	The park ranger taught us how to distinguish the edible berries from the poisonous ones.
Stage 2	Ambiguity	 	state of having more than one possible meaning	The ambiguity in his answer made it hard to tell what he really meant.
Stage 2	Hypothesize	 	form a theory or educated guess	Scientists hypothesize that the planet once had water.
Stage 2	Spontaneous	 	done without planning, natural	Their road trip was a spontaneous decision made late at night.
Stage 2	Constituency	 	the voters in a given area	The politician promised to serve the needs of her constituency.
Stage 2	Auspicious	 	showing signs of future success	The wedding date was chosen for being the most auspicious day of the year.
Stage 2	Extraterrestrial	 	originating from beyond Earth	The movie was about an extraterrestrial life form visiting Earth.
Stage 2	Correspondence	 	exchange of letters or messages	Their correspondence lasted for years through handwritten letters.
Stage 2	Thoroughly	 	completely and with great care	He thoroughly cleaned his room before the guests arrived.
Stage 2	Beneficiary	 	a person who receives a benefit or inheritance	She was named the sole beneficiary of her grandmother's estate.
Stage 2	Archaeologist	 	a scientist who studies ancient civilizations	The archaeologist uncovered ancient tools buried under the sand.
Stage 2	Drought	 	a long period of abnormally low rainfall	The farmers struggled to grow crops during the severe drought.
Stage 2	Avant-garde	 	new, experimental, and ahead of its time	The artist's avant-garde style shocked the traditional art world.
Stage 2	Rehearse	 	practice for a performance	The actors had to rehearse the final scene several times.
Stage 2	Sacrilegious	 	showing disrespect for sacred things	Some people considered the comedian's joke about religion sacrilegious.
Stage 2	Piscatorial	 	relating to fish or fishing	The village's economy depended on piscatorial activities like fishing and net-making.
Stage 2	Myrrh	 	a fragrant resin used as incense or perfume	Myrrh was one of the gifts brought by the wise men in the nativity story.
Stage 2	Gazetteer	 	a geographical index	He used the gazetteer to find the coordinates of the ancient city.
Stage 2	Rendezvous	 	a prearranged meeting at a specific place	We agreed to rendezvous at the café at noon.
Stage 2	Repugnant	 	extremely distasteful or offensive	The idea of cheating on a test is repugnant to most students.
Stage 2	Fahrenheit	 	a temperature scale where water freezes at 32°	The temperature outside reached 90 degrees Fahrenheit today.
Stage 2	Tripartite	 	consisting of or involving three parties	The treaty was a tripartite agreement between three countries.
Stage 2	Concierge	 	a hotel employee who assists guests	The concierge helped us book a taxi and dinner reservations.
Stage 2	Heinous	 	utterly wicked or criminal	The criminal was convicted of a heinous crime.
Stage 2	Benign	 	harmless; not dangerous	The doctor assured her that the lump was benign and not dangerous.
Stage 2	Gnarled	 	knobbly and twisted, especially with age	The old tree had gnarled branches twisted by the wind.
Stage 2	Audacious	 	bold and daring, showing no fear	His audacious plan to start a business amazed everyone.
Stage 2	Blasphemous	 	showing disrespect for sacred or religious things	The speech was considered blasphemous by the religious community.
Stage 2	Auxiliary	 	providing additional help or support	The hospital has an auxiliary power supply in case of outages.
Stage 2	Conscientious	 	careful and thorough; guided by a sense of duty	She is a conscientious worker who always meets deadlines.
Stage 2	Chauffeur	 	a person employed to drive someone	They hired a chauffeur to drive them around the city.
Stage 2	Miscellaneous	 	consisting of various mixed kinds	The drawer was full of miscellaneous items like keys, pens, and receipts.
Stage 2	Presumptuous	 	behaving too confidently or boldly	It was presumptuous of him to assume he would get the promotion.
Stage 2	homogeneous	 	composed of parts or elements that are all of the same kind	The group of marbles is very homogeneous in that it has all blue marbles of the same size.
Stage 2	Extenuating	 	making an offense seem less serious	The judge considered extenuating circumstances before deciding the sentence.
Stage 2	Silhouette	 	a dark outline seen against a light background	We saw the silhouette of a bird against the sunset.
Stage 2	Clairvoyant	 	a person who claims to see the future	The clairvoyant claimed to predict the future.
Stage 2	Rancorous	 	having bitter resentment or ill will	Their rancorous argument lasted for hours without resolution.
Stage 2	Inconsequential	 	not important or significant	The small mistake was inconsequential to the overall project.
Stage 2	Echelon	 	a level or rank within an organization	She quickly rose to the top echelon of the company through hard work.
Stage 2	Charcuterie	 	cured and prepared meats and accompaniments	We enjoyed a delicious charcuterie board with meats, cheeses, and olives.
